,,,,
// UNIT 1 — Cardiovascular System: The Heart (CVHeart) | Subtopic: Heart Wall and Pericardium (HeartWallPeri),,,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-CVHeart-HeartWallPeri-BulkHeartWall-Q1-Rem-1,,,
QuestionText,Which of the following layers forms the bulk of the heart wall?,,,
Points,1,,,
Option,0,epicardium,,
Option,0,pericardium,,
Option,0,endocardium,,
Option,100,myocardium,,
Option,0,serous layer,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-CVHeart-HeartWallPeri-ViscPeriName-Q2-Rem-3,,,
QuestionText,Another name for the visceral pericardium is the,,,
Points,1,,,
Option,0,endocardium.,,
Option,100,epicardium.,,
Option,0,isocardium.,,
Option,0,myocardium.,,
Option,0,parietal pericardium.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-CVHeart-HeartWallPeri-PumpingLayer-Q3-Und-2,,,
QuestionText,The layer of the heart wall responsible for its pumping action is the:,,,
Points,1,,,
Option,0,fibrous pericardium.,,
Option,0,serous pericardium.,,
Option,0,epicardium.,,
Option,100,myocardium.,,
Option,0,endocardium,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-CVHeart-HeartWallPeri-InnermostPeri-Q4-Rem-2,,,
QuestionText,The innermost layer of the pericardial sac is the,,,
Points,1,,,
Option,0,fibrous pericardium.,,
Option,0,parietal layer of the serous pericardium.,,
Option,100,visceral layer of the serous pericardium.,,
Option,0,myocardium.,,
Option,0,none of the above,,
,,,,
// UNIT 2 — Heart: Anatomy & Histology (HeartAnatHist) | Subtopics: HeartValves / HeartIntStr / BloodFlowPath,,,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartValves-ChordTend-Q1-Und-1,,,
QuestionText,The chordae tendineae,,,
Points,1,,,
Option,0,connect the atria to the ventricles.,,
Option,0,are found in the interventricular septum.,,
Option,0,are part of the conducting system of the heart.,,
Option,100,connect the flaps of the AV valves to the papillary muscles.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartIntStr-LVWallThick-Q2-Und-2,,,
QuestionText,The wall of the left ventricle is thicker than the right wall in order to:,,,
Points,1,,,
Option,100,pump blood with greater pressure.,,
Option,0,pump blood through a smaller valve.,,
Option,0,accomodate a greater volume of blood.,,
Option,0,expand the thoracic cage during diastole.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartValves-AVValveAorta-Q3-Rem-5,,,
QuestionText,The atrioventricular valve that is located on the same side of the heart as the origin of the aorta is the,,,
Points,1,,,
Option,100,bicuspid valve.,,
Option,0,tricuspid valve.,,
Option,0,aortic semilunar valve.,,
Option,0,pulmonary semilunar valve.,,
Option,0,right atrioventricular valve.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartValves-PulmSLValve-Q4-Und-2,,,
QuestionText,An incompetent pulmonary semilunar valve could result in less blood reaching the,,,
Points,1,,,
Option,100,lungs.,,
Option,0,heart muscle.,,
Option,0,right ventricle.,,
Option,0,aorta.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartIntStr-BloodVessBase-Q5-Rem-3,,,
QuestionText,Blood vessels enter and exit from the _____ of the heart.,,,
Points,1,,,
Option,0,apex,,
Option,100,base,,
Option,0,auricles,,
Option,0,trigone,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartValves-IncompBicusp-Q6-Und-2,,,
QuestionText,An incompetent bicuspid valve may cause blood to back up into the,,,
Points,1,,,
Option,0,aorta.,,
Option,100,left atrium.,,
Option,0,left ventricle.,,
Option,0,coronary circulation.,,
Option,0,right atrium.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-BloodFlowPath-SVCFlow-Q7-Rem-1,,,
QuestionText,Blood flows from the superior vena cava into the:,,,
Points,1,,,
Option,100,right atrium.,,
Option,0,inferior vena cava.,,
Option,0,left atrium.,,
Option,0,aorta.,,
Option,0,pulmonary trunk.,,
,,,,
NewQuestion,MC,,,
ID,WinTest1-HeartAnatHist-HeartIntStr-PapillMuscle-Q8-Und-5,,,
QuestionText,Contraction of the papillary muscles would,,,
Points,1,,,
Option,0,eject blood from the ventricles.,,
Option,100,prevent the flaps of the AV valves from everting into the atria.,,
Option,0,close the semilunar valves.,,
Option,0,cause the atria to eject their contents into the ventricles.,,
Option,0,none of the above,,
